date,alpa4.sa,abev3.sa,amer3.sa,b3sa3.sa,bpan4.sa,bbse3.sa,bbdc3.sa,bbdc4.sa,brap4.sa,bbas3.sa,brkm5.sa,brfs3.sa,ccro3.sa,cmig3.sa,cmig4.sa,cple3.sa,cple6.sa,csan3.sa,cpfe3.sa,dasa3.sa,elet3.sa,elet6.sa,engi11.sa,enev3.sa,egie3.sa,eqtl3.sa,ggbr4.sa,hype3.sa,itsa4.sa,itub3.sa,itub4.sa,jbss3.sa,klbn11.sa,rent3.sa,lren3.sa,mglu3.sa,mrfg3.sa,petr3.sa,petr4.sa,prio3.sa,pssa3.sa,radl3.sa,rail3.sa,sbsp3.sa,sanb11.sa,smto3.sa,csna3.sa,suzb3.sa,taee11.sa,vivt3.sa,tims3.sa,tots3.sa,trpl4.sa,ugpa3.sa,usim3.sa,usim5.sa,vale3.sa,wege3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-17,NA,0.325696,NA,NA,NA,NA,1.34727,NA,1.73392,1.170563,1187.885742,818.862427,NA,0.919556,3344.862061,0.358997,-30.488918,NA,0.14408,NA,7.864825,NA,NA,NA,NA,NA,290.905029,NA,0.545368,1.298241,NA,NA,NA,NA,6156.449707,NA,NA,1.908724,1.944021,NA,NA,0.004852,NA,4.769758,NA,NA,1.998426,NA,NA,10.191493,NA,NA,2317.992676,NA,1.211586,1.858067,2.032731,0.115483,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-01-18,NA,0.325696,NA,NA,NA,NA,1.358873,NA,1.84229,1.202122,1216.858765,818.862427,NA,0.900399,3344.862061,0.358997,-30.962357,NA,0.14408,NA,7.886315,NA,NA,NA,NA,NA,311.300476,NA,0.531935,1.261671,NA,NA,NA,NA,6156.449707,NA,NA,1.908724,1.953125,NA,NA,0.004852,NA,4.723617,NA,NA,1.964228,NA,NA,10.738099,NA,NA,2286.562256,NA,1.065508,1.780579,1.971749,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-01-19,NA,0.325696,NA,NA,NA,NA,1.316816,NA,1.73392,1.189211,1159.086914,806.452881,NA,0.919556,3308.404785,0.355876,-30.299551,NA,0.14408,NA,7.843335,NA,NA,NA,NA,NA,298.955688,NA,0.526563,1.270813,NA,NA,NA,NA,6156.449707,NA,NA,1.892817,1.939286,NA,NA,0.004852,NA,4.654661,NA,NA,1.908657,NA,NA,10.188264,NA,NA,2259.061279,NA,1.099879,1.755848,1.963619,0.116573,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-01-20,NA,0.325696,NA,NA,NA,NA,1.277658,NA,1.62555,1.182039,1216.858765,806.452881,NA,0.900399,3218.175781,0.349633,-30.886606,NA,0.14408,NA,7.864825,NA,NA,NA,NA,NA,292.515106,NA,0.515816,1.270813,NA,NA,NA,NA,6156.449707,NA,NA,1.829193,1.934916,NA,NA,0.004852,NA,4.700545,NA,NA,1.853086,NA,NA,10.026545,NA,NA,2239.416992,NA,1.099879,1.863014,1.951422,0.117663,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-01-21,NA,0.325696,NA,NA,NA,NA,1.234152,NA,1.62555,1.192081,1188.002075,806.452881,NA,0.919556,3144.351807,0.349008,-31.246408,NA,0.14408,NA,7.306121,NA,NA,NA,NA,NA,292.515106,NA,0.50507,1.234243,NA,NA,NA,NA,6156.449707,NA,NA,1.776173,1.893763,NA,NA,0.004852,NA,4.723617,NA,NA,1.724845,NA,NA,9.86482,NA,NA,2168.698242,NA,1.099879,1.846526,1.910768,0.114394,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-01-24,NA,0.325696,NA,NA,NA,NA,1.216749,NA,1.62555,1.16339,1193.680664,806.452881,NA,0.919556,3121.566895,0.355564,-30.678297,NA,0.14408,NA,7.349099,NA,NA,NA,NA,NA,287.201569,NA,0.494324,1.215958,NA,NA,NA,NA,6156.449707,NA,NA,1.786776,1.880288,NA,NA,0.004852,NA,4.631591,NA,NA,1.767591,NA,NA,9.871292,NA,NA,2164.769531,NA,1.099879,1.830039,1.951422,0.112215,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-01-25,NA,0.325696,NA,NA,NA,NA,1.216749,NA,1.62555,NA,1193.680664,806.452881,NA,0.919556,3121.566895,0.355564,-30.678297,NA,0.14408,NA,7.349099,NA,NA,NA,NA,NA,287.201569,NA,0.494324,1.215958,NA,NA,NA,NA,6156.449707,NA,NA,NA,1.880288,NA,NA,0.004852,NA,4.631591,NA,NA,NA,NA,NA,9.871292,NA,NA,2164.769531,NA,1.099879,1.830039,1.951422,0.112215,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-01-26,NA,0.323661,NA,NA,NA,NA,1.186294,NA,1.517181,1.190645,1158.913086,806.452881,NA,0.900399,3097.871094,0.357437,-30.678297,NA,0.14408,NA,7.392075,NA,NA,NA,NA,NA,279.043396,NA,0.491637,1.188531,NA,NA,NA,NA,6156.449707,NA,NA,1.770871,1.902867,NA,NA,0.004852,NA,4.79257,NA,NA,1.75263,NA,NA,10.091227,NA,NA,2239.416992,NA,1.099879,1.844877,1.93516,0.119841,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-01-27,NA,0.309414,NA,NA,NA,NA,1.208047,NA,1.62555,1.164824,1170.502197,806.452881,NA,0.900399,3007.64209,0.352754,-30.488918,NA,0.14408,NA,7.456541,NA,NA,NA,NA,NA,281.78064,NA,0.486264,1.188531,NA,NA,NA,NA,6156.449707,NA,NA,1.792133,1.889393,NA,NA,0.004852,NA,4.631591,NA,NA,1.724845,NA,NA,10.349977,NA,NA,2219.772705,NA,1.151436,1.797066,1.951422,0.120931,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-01-28,NA,0.309414,NA,NA,NA,NA,1.229802,NA,1.62555,1.1347,1158.913086,806.452881,NA,0.881242,2911.944092,0.34495,-29.163321,NA,0.14408,NA,7.091236,NA,NA,NA,NA,NA,280.170441,NA,0.472832,1.161104,NA,NA,NA,NA,6156.449707,NA,NA,1.770871,1.889393,NA,NA,0.004852,NA,4.562378,NA,NA,1.709883,NA,NA,10.033012,NA,NA,2074.406982,NA,1.151436,1.747605,1.951422,0.122021,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-01-31,NA,0.309414,NA,NA,NA,NA,1.218199,NA,1.62555,1.133265,1100.967285,732.010986,NA,0.842926,2788.903809,0.326219,-27.64834,NA,0.14408,NA,6.897838,NA,NA,NA,NA,NA,268.362396,NA,0.456712,1.161104,NA,NA,NA,NA,6156.449707,NA,NA,1.802683,1.857708,NA,NA,0.004852,NA,4.608519,NA,NA,1.667136,NA,NA,9.83248,NA,NA,2101.908447,NA,1.151436,1.731118,1.951422,0.119841,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
