date,abcb4.sa,also3.sa,alpa4.sa,alup11.sa,amer3.sa,anim3.sa,arzz3.sa,bpan4.sa,brsr6.sa,brpr3.sa,brap4.sa,agro3.sa,brfs3.sa,cogn3.sa,csmg3.sa,cvcb3.sa,cyre3.sa,dasa3.sa,dxco3.sa,pnvl3.sa,dirr3.sa,ecor3.sa,embr3.sa,enat3.sa,enbr3.sa,even3.sa,eztc3.sa,fher3.sa,fesa4.sa,flry3.sa,gfsa3.sa,goau4.sa,goll4.sa,grnd3.sa,guar3.sa,meal3.sa,mypk3.sa,rani3.sa,jhsf3.sa,kepl3.sa,ligt3.sa,logn3.sa,amar3.sa,mdia3.sa,pomo4.sa,mrfg3.sa,leve3.sa,mils3.sa,beef3.sa,mrve3.sa,odpv3.sa,pcar3.sa,ptbl3.sa,posi3.sa,qual3.sa,rapt4.sa,rcsl3.sa,romi3.sa,stbp3.sa,smto3.sa,seer3.sa,sqia3.sa,slce3.sa,syne3.sa,tasa4.sa,tend3.sa,tris3.sa,tupy3.sa,unip6.sa,usim3.sa,usim5.sa,vlid3.sa,viia3.sa,vulc3.sa,wizs3.sa,yduq3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.622967,NA,818.862427,NA,NA,NA,0.38361,NA,NA,4.101736,NA,NA,5.411822,NA,2.461168,NA,NA,NA,0.34895,NA,NA,176.113953,NA,NA,3.787721,NA,NA,3.04e-4,NA,NA,53.401745,NA,NA,NA,0.179222,NA,1.730426,NA,NA,NA,NA,NA,0.38102,NA,NA,0.1552,NA,0.201246,NA,NA,NA,NA,NA,0.129846,2.885095,NA,NA,NA,22.894297,1.211585,1.858067,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.724403,NA,818.862427,NA,NA,NA,NA,NA,NA,4.922084,NA,NA,5.560091,NA,2.461168,NA,NA,NA,0.34895,NA,NA,178.411102,NA,NA,3.787721,NA,NA,3.04e-4,NA,NA,55.227444,NA,NA,NA,0.178348,NA,1.730426,NA,NA,NA,NA,NA,0.367882,NA,NA,0.151591,NA,0.201246,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.894297,1.065508,1.780579,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.622967,NA,806.453064,NA,NA,NA,NA,NA,NA,4.101736,NA,NA,5.374757,NA,2.461168,NA,NA,NA,0.339519,NA,NA,178.02829,NA,NA,0.499769,NA,0.76037,2.89e-4,NA,NA,53.401745,NA,NA,NA,0.178348,NA,1.804933,NA,NA,NA,NA,NA,0.367882,NA,NA,0.1552,NA,0.199033,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.695223,1.099879,1.755849,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,806.453064,NA,NA,NA,0.38361,NA,NA,4.101736,NA,NA,5.44889,NA,2.461168,NA,NA,NA,0.342663,NA,NA,178.985443,NA,NA,0.499769,NA,NA,2.66e-4,NA,NA,52.032475,NA,NA,NA,0.182719,NA,1.73095,NA,NA,NA,NA,NA,0.354743,NA,NA,0.151591,NA,0.199033,NA,NA,NA,NA,NA,0.129846,2.885095,NA,NA,NA,22.097992,1.099879,1.863013,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,806.453064,NA,NA,NA,NA,NA,NA,0.30052,NA,NA,5.560091,NA,2.461168,NA,NA,NA,0.336375,NA,NA,179.923477,NA,NA,0.499769,NA,NA,2.66e-4,NA,NA,53.604599,NA,NA,NA,0.183593,NA,1.731476,NA,NA,NA,NA,NA,0.354743,NA,NA,0.151591,NA,0.199234,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.297058,1.099879,1.846526,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,806.453064,NA,NA,NA,0.439553,NA,NA,0.30052,NA,NA,5.523026,NA,2.461168,NA,NA,NA,0.336375,NA,NA,178.02829,NA,NA,0.499769,NA,NA,2.66e-4,NA,NA,56.393852,NA,NA,NA,0.183593,NA,1.731476,NA,NA,NA,NA,NA,0.367882,NA,NA,0.147981,NA,0.199234,NA,NA,NA,NA,NA,0.148782,2.885095,NA,NA,NA,22.097992,1.099879,1.830039,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,806.453064,NA,NA,NA,NA,NA,NA,0.30052,NA,NA,5.523026,NA,2.461168,NA,NA,NA,0.336375,NA,NA,178.02829,NA,NA,0.499769,NA,NA,2.66e-4,NA,NA,NA,NA,NA,NA,0.183593,NA,1.731476,NA,NA,NA,NA,NA,0.367882,NA,NA,0.147981,NA,0.199234,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.097992,1.099879,1.830039,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420096,NA,806.453064,NA,NA,NA,NA,NA,NA,0.328139,NA,NA,5.597158,NA,2.461168,NA,NA,NA,0.333232,NA,NA,172.285385,NA,NA,0.499769,NA,NA,2.58e-4,NA,NA,49.496765,NA,NA,NA,0.176599,NA,1.81018,NA,NA,NA,NA,NA,0.354743,NA,NA,0.151591,NA,0.199234,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,21.500786,1.099879,1.844878,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,806.453064,NA,NA,NA,NA,NA,NA,0.328139,NA,NA,5.78991,NA,2.461168,NA,NA,NA,0.33015099999999997,NA,NA,172.285385,NA,NA,0.473465,NA,NA,2.58e-4,NA,NA,57.611,NA,NA,NA,0.175725,NA,1.81018,NA,NA,NA,NA,NA,0.354743,NA,NA,0.151591,NA,0.199234,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.496161,1.151436,1.797066,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,806.453064,NA,NA,NA,NA,NA,NA,0.339077,NA,NA,5.819561,NA,2.461168,NA,NA,NA,0.330088,NA,NA,166.542526,NA,NA,0.473465,NA,0.684163,2.58e-4,NA,NA,55.126019,NA,NA,NA,0.173102,NA,1.81018,NA,NA,NA,NA,NA,0.354743,NA,NA,0.147981,NA,0.199234,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.297058,1.151436,1.747605,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
