date,alup11.sa,cmig3.sa,cmig4.sa,csmg3.sa,cple3.sa,cple6.sa,cpfe3.sa,elet3.sa,elet6.sa,enbr3.sa,engi11.sa,enev3.sa,egie3.sa,eqtl3.sa,ligt3.sa,sbsp3.sa,taee11.sa,trpl4.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-02-03,NA,0.823769,2806.219727,NA,0.330902,-28.140711,0.14408,7.263144,NA,2.60783,NA,NA,NA,NA,59.132427,4.63159,NA,2003.688965,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-04,NA,0.842926,2798.018311,NA,0.335585,-28.992886,0.14408,7.47803,NA,2.60783,NA,NA,NA,NA,60.552425,4.677474,NA,2121.55249,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-07,NA,0.842926,2884.601318,NA,0.328093,-28.424763,0.14408,7.349097,NA,2.60783,NA,NA,NA,NA,60.197422,4.63159,NA,2141.197021,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-08,NA,0.881241,3016.755859,NA,0.32778,-27.856653,0.14408,7.510263,NA,2.60783,NA,NA,NA,NA,59.842426,4.647663,NA,2455.501221,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-09,NA,0.881241,3007.641357,NA,0.32778,-27.458973,0.14408,7.370588,NA,2.60783,NA,NA,NA,NA,55.937454,4.493165,NA,2773.733887,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-10,NA,0.900399,3089.668457,NA,0.333087,-28.405834,0.14408,7.392076,NA,2.60783,NA,NA,NA,NA,56.393871,4.401138,NA,3810.937012,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-11,NA,0.881241,2979.387939,NA,0.342765,-29.882927,0.14408,7.048258,NA,2.60783,NA,NA,NA,NA,56.596729,4.354997,NA,4349.184082,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-14,NA,0.862084,2880.045166,NA,0.349632,-29.845051,0.14408,6.876349,NA,2.60783,NA,NA,NA,NA,56.393871,4.262712,NA,4557.409668,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-15,NA,0.842926,2871.842529,NA,0.349632,-30.678305,0.14408,6.876349,NA,2.60783,NA,NA,NA,NA,54.061035,4.193758,NA,4160.601563,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-16,NA,0.842926,2870.931396,NA,0.348071,-31.246416,0.14408,6.897838,NA,2.60783,NA,NA,NA,NA,59.284561,4.239901,NA,4164.530273,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-17,NA,0.862084,2861.816406,NA,0.358997,-32.193272,0.14408,6.91503,NA,2.60783,NA,NA,NA,NA,57.560291,4.103807,NA,4262.748535,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-18,NA,0.842926,2825.360107,NA,0.352754,-32.003899,0.14408,6.768905,NA,2.60783,NA,NA,NA,NA,56.343163,4.053258,NA,4125.240723,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-21,NA,0.842926,2870.931396,NA,0.358685,-32.761391,0.14408,6.977346,NA,2.60783,NA,NA,NA,NA,58.675995,4.055331,NA,4203.817871,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-22,NA,0.842926,2814.423096,NA,0.349632,-31.435781,0.14408,6.876349,NA,2.60783,NA,NA,NA,NA,58.219585,4.055331,NA,3810.937012,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-23,NA,0.842926,2857.259521,NA,0.350257,-30.75404,0.14408,6.897838,NA,2.60783,NA,NA,NA,NA,58.219585,4.009708,NA,3920.944092,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-24,NA,0.823769,2798.929443,NA,0.340267,-30.583616,0.14408,6.764609,NA,2.60783,NA,NA,NA,NA,55.683891,4.048592,NA,3889.512695,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-25,NA,0.804611,2779.789551,NA,0.33777,-30.526794,0.14408,6.659315,NA,2.60783,NA,NA,NA,NA,54.872456,4.124545,NA,3830.581055,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-28,NA,0.804611,2743.333496,NA,0.328405,-30.451042,0.14408,6.554021,NA,2.60783,NA,NA,NA,NA,54.314602,4.078402,NA,3732.361084,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-02-29,NA,0.766297,2660.395996,NA,0.319976,-30.488926,0.14408,6.575509,NA,2.60783,NA,NA,NA,NA,55.937454,4.043925,NA,3732.361084,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-01,NA,0.785454,2643.078857,NA,0.316854,-30.488926,0.127614,6.682951,NA,2.60783,NA,NA,NA,NA,55.937454,4.009448,NA,3732.361084,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-02,NA,0.766297,2547.380615,NA,0.307489,-30.110181999999998,0.127614,6.468066,NA,2.60783,NA,NA,NA,NA,56.038887,3.917164,NA,3531.993164,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-03,NA,0.785454,2679.535156,NA,0.31186,-30.299549,0.127614,6.747418,NA,2.60783,NA,NA,NA,NA,55.227463,4.066997,NA,3732.361084,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-06,NA,0.785454,2679.535156,NA,0.31186,-30.299549,0.127614,6.747418,NA,2.60783,NA,NA,NA,NA,NA,4.066997,NA,3732.361084,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-07,NA,0.785454,2679.535156,NA,0.31186,-30.299549,0.127614,6.747418,NA,2.60783,NA,NA,NA,NA,NA,4.066997,NA,3732.361084,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-08,NA,0.785454,2670.421631,NA,0.306553,-30.299549,0.127614,6.532533,NA,2.60783,NA,NA,NA,NA,54.568165,4.147616,NA,3732.361084,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-09,NA,0.804611,2715.990967,NA,0.30905,-30.583616,0.127614,6.983792,NA,2.60783,NA,NA,NA,NA,55.024601,4.101215,NA,3877.726807,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-10,NA,0.785454,2786.169678,NA,0.310923,-30.678305,0.127614,7.134212,NA,2.60783,NA,NA,NA,NA,55.227463,4.055331,NA,3803.079102,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-13,NA,0.785454,2786.169678,NA,0.316854,-30.678305,0.127614,7.026771,NA,2.60783,NA,NA,NA,NA,NA,4.055331,NA,3803.079102,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-14,NA,0.785454,2697.762939,NA,0.309362,-30.110181999999998,0.127614,6.682951,NA,2.60783,NA,NA,NA,NA,52.69175,3.875688,NA,3496.632568,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-15,NA,0.785454,2762.473145,NA,0.305928,-30.299549,0.127614,6.661463,NA,2.60783,NA,NA,NA,NA,53.604618,3.755925,NA,3437.701172,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-16,NA,0.823769,2835.385254,NA,0.315293,-30.299549,0.127614,6.983792,NA,2.60783,NA,NA,NA,NA,54.061035,3.709524,NA,3551.63623,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-17,NA,0.823769,2870.931396,NA,0.315918,-30.299549,0.127614,6.876349,NA,2.60783,NA,NA,NA,NA,51.778912,3.686713,NA,3810.937012,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-20,NA,0.823769,2816.246094,NA,0.302807,-28.803514,0.127614,6.747418,NA,2.60783,NA,NA,NA,NA,52.945343,3.64057,NA,3771.649414,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-21,NA,0.823769,2891.893311,NA,0.327156,-29.920807,0.127614,6.639975,NA,2.60783,NA,NA,NA,NA,53.756752,3.571616,NA,4105.597656,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-22,NA,0.842926,2825.360107,NA,0.324659,-30.299549,0.127614,6.80114,NA,2.60783,NA,NA,NA,NA,52.945343,3.617758,NA,4195.959473,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-23,NA,0.842926,2756.09375,NA,0.326844,-28.973938,0.127614,6.837671,NA,2.60783,NA,NA,NA,NA,53.401752,3.778996,NA,4203.817871,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-24,NA,0.862084,2802.574951,NA,0.340267,-30.110181999999998,0.127614,6.876349,NA,2.60783,NA,NA,NA,NA,51.778912,3.825139,NA,4007.37793,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-27,NA,0.842926,2781.612305,NA,0.326219,-30.583616,0.127614,7.112725,NA,2.60783,NA,NA,NA,NA,52.032471,3.84795,NA,3803.079102,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-28,NA,0.862084,2816.246094,NA,0.30905,-39.094734,0.127614,6.846265,NA,2.60783,NA,NA,NA,NA,50.866062,3.790403,NA,3842.367432,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-29,NA,0.804611,2807.13208,NA,0.310611,-39.351082,0.127614,6.747418,NA,2.60783,NA,NA,NA,NA,50.10535,3.732076,NA,3614.497803,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-30,NA,0.804611,2780.700684,NA,0.301246,-37.684753,0.127614,6.532533,NA,2.60783,NA,NA,NA,NA,50.156059,3.870762,NA,3614.497803,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-03-31,NA,0.842926,2777.967041,NA,0.312172,-37.812939,0.127614,6.661463,NA,2.60783,NA,NA,NA,NA,50.612488,4.066997,NA,3752.005615,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-03,NA,0.785454,2654.015869,NA,0.312172,-37.941101,0.127614,6.586254,NA,2.60783,NA,NA,NA,NA,48.786781,3.928829,NA,3496.632568,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-04,NA,0.766297,2512.747559,NA,0.312172,-37.043858,0.127614,6.554021,NA,2.60783,NA,NA,NA,NA,48.076801,3.893834,NA,3300.194336,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-05,NA,0.747139,2551.0271,NA,0.301558,-36.915668,0.127614,6.446578,NA,2.60783,NA,NA,NA,NA,50.409637,3.939718,NA,3205.901855,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-06,NA,0.785454,2570.166748,NA,0.30905,-38.453831,0.127614,6.511045,NA,2.60783,NA,NA,NA,NA,50.612488,3.963306,NA,3150.898438,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-07,NA,0.785454,2679.535156,NA,0.312172,-40.376518,0.127614,6.42509,NA,2.60783,NA,NA,NA,NA,51.576042,4.050666,NA,3304.122559,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-10,NA,0.766297,2587.483398,NA,0.30468,-38.479462,0.127614,6.231692,NA,2.60783,NA,NA,NA,NA,48.583931,3.916904,NA,3162.684326,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-11,NA,0.747139,2526.417969,NA,0.30468,-37.30022,0.127614,6.124249,NA,2.60783,NA,NA,NA,NA,49.953213,3.883983,NA,3064.465332,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-12,NA,0.727982,2524.595947,NA,0.307489,-38.453831,0.267578,6.059783,NA,2.60783,NA,NA,NA,NA,49.040359,3.963306,NA,3241.26123,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-13,NA,0.708824,2432.543945,NA,0.307489,-36.915668,0.267578,5.823409,NA,2.60783,NA,NA,NA,NA,48.786781,3.732854,NA,3025.17627,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-14,NA,0.689667,2278.515625,NA,0.287198,-34.608452,0.267578,5.587034,NA,2.60783,NA,NA,NA,NA,47.772503,3.663642,NA,2710.872559,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-17,NA,0.632195,2260.288574,NA,0.279394,-33.070286,0.267578,5.479591,NA,2.60783,NA,NA,NA,NA,47.873943,3.546212,NA,2573.364746,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-18,NA,0.689667,2296.744629,NA,0.279394,-33.839371,0.267578,5.541908,NA,2.60783,NA,NA,NA,NA,47.417519,3.663642,NA,2667.655518,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-19,NA,0.689667,2287.630371,NA,0.280955,-34.608452,0.267578,5.286194,NA,2.60783,NA,NA,NA,NA,46.251087,3.53688,NA,2671.584717,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-20,NA,0.727982,2333.200195,NA,0.293441,-32.685749,0.267578,5.563396,NA,2.60783,NA,NA,NA,NA,47.16394,3.64057,NA,2671.584717,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-21,NA,0.727982,2333.200195,NA,0.293441,-32.685749,0.267578,5.563396,NA,2.60783,NA,NA,NA,NA,NA,3.64057,NA,2671.584717,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-24,NA,0.727982,2278.515625,NA,0.293441,-31.532146,0.267578,5.393637,NA,2.60783,NA,NA,NA,NA,46.251087,3.525215,NA,2557.649902,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-25,NA,0.727982,2333.200195,NA,0.291881,-32.813934,0.267578,5.6515,NA,2.60783,NA,NA,NA,NA,47.16394,3.653272,NA,2809.092773,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-26,NA,0.727982,2342.314697,NA,0.29032,-32.58321,0.267578,5.584885,NA,2.60783,NA,NA,NA,NA,46.70752,3.826954,NA,2675.512939,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-27,NA,0.766297,2287.630371,NA,0.28751,-32.044846,0.267578,5.630011,NA,2.60783,NA,NA,NA,NA,45.591805,3.905758,NA,2710.872559,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-04-28,NA,0.785454,2506.36792,NA,0.296563,-34.223907,0.267578,5.737453,NA,2.60783,NA,NA,NA,NA,47.92466,3.928829,NA,2714.802246,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-01,NA,0.785454,2506.36792,NA,0.296563,-34.223907,0.267578,5.737453,NA,2.60783,NA,NA,NA,NA,NA,3.928829,NA,2714.802246,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-02,NA,0.727982,2452.595215,NA,0.315293,-35.608246,0.267578,5.97383,NA,2.60783,NA,NA,NA,NA,47.975368,3.824879,NA,2612.652832,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-03,NA,0.747139,2406.112793,NA,0.302807,-33.352299,0.267578,5.737453,NA,2.60783,NA,NA,NA,NA,48.026089,3.617758,NA,2514.432617,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-04,NA,0.766297,2412.49292,NA,0.339955,-35.633888,0.267578,5.801919,NA,2.60783,NA,NA,NA,NA,47.873943,3.571616,NA,2431.92749,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-05,NA,0.785454,2542.823975,NA,0.343389,-36.55677,0.267578,5.930851,NA,2.60783,NA,NA,NA,NA,48.076801,3.594686,NA,2553.720215,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-08,NA,0.804611,2533.710205,NA,0.334024,-35.890244,0.267578,5.801919,NA,2.60783,NA,NA,NA,NA,48.127518,3.45626,NA,2475.144775,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-09,NA,0.766297,2426.164551,NA,0.315293,-34.352089,0.267578,5.844897,NA,2.60783,NA,NA,NA,NA,48.178219,3.343497,NA,2427.999512,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-10,NA,0.747139,2407.024902,NA,0.321537,-34.352089,0.267578,5.890023,NA,2.60783,NA,NA,NA,NA,48.178219,3.24888,NA,2396.568359,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-11,NA,0.747139,2414.316162,NA,0.315293,-34.352089,0.267578,6.021104,NA,2.60783,NA,NA,NA,NA,47.975368,3.27195,NA,2357.281006,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-12,NA,0.727982,2369.656738,NA,0.302807,-32.813934,0.267578,6.083421,NA,2.60783,NA,NA,NA,NA,47.975368,3.225809,NA,2310.134766,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-15,NA,0.785454,2553.760498,NA,0.321537,-35.890244,0.267578,6.360623,NA,2.60783,NA,NA,NA,NA,46.251087,3.410377,NA,2431.92749,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-16,NA,0.804611,2579.280029,NA,0.334336,-37.787289,0.279927,6.468066,NA,2.60783,NA,NA,NA,NA,48.330364,3.421783,NA,2490.859375,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-17,NA,0.766297,2488.139648,NA,0.330902,-36.531132,0.279927,6.317646,NA,2.60783,NA,NA,NA,NA,44.171814,3.364235,NA,2392.639893,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-18,NA,0.766297,2445.303711,NA,0.330902,-36.249142,0.279927,6.139291,NA,2.60783,NA,NA,NA,NA,43.918251,3.293984,NA,2317.99292,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-19,NA,0.708824,2369.656738,NA,0.321537,-35.890244,0.279927,5.887874,NA,2.60783,NA,NA,NA,NA,43.766113,3.260545,NA,2294.420166,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-22,NA,0.708824,2278.515625,NA,0.299373,-35.121155,0.279927,5.737453,NA,2.60783,NA,NA,NA,NA,43.258968,3.08764,NA,2125.481689,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
