date,also3.sa,alpa4.sa,abev3.sa,arzz3.sa,b3sa3.sa,bpan4.sa,bbse3.sa,bbdc3.sa,bbdc4.sa,brap4.sa,bbas3.sa,brkm5.sa,brfs3.sa,ccro3.sa,cmig4.sa,ciel3.sa,cogn3.sa,cple6.sa,csan3.sa,cpfe3.sa,cvcb3.sa,cyre3.sa,dxco3.sa,ecor3.sa,elet3.sa,elet6.sa,embr3.sa,enat3.sa,enbr3.sa,engi11.sa,enev3.sa,egie3.sa,eqtl3.sa,eztc3.sa,flry3.sa,ggbr4.sa,goau4.sa,goll4.sa,hype3.sa,itsa4.sa,itub4.sa,jbss3.sa,klbn11.sa,rent3.sa,lren3.sa,mdia3.sa,mglu3.sa,mrfg3.sa,beef3.sa,mrve3.sa,mult3.sa,pcar3.sa,petr3.sa,petr4.sa,prio3.sa,pssa3.sa,qual3.sa,radl3.sa,rail3.sa,sbsp3.sa,sanb11.sa,stbp3.sa,smto3.sa,csna3.sa,slce3.sa,suzb3.sa,taee11.sa,vivt3.sa,tims3.sa,tots3.sa,trpl4.sa,ugpa3.sa,usim5.sa,vale3.sa,viia3.sa,wege3.sa,yduq3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-17,NA,NA,0.309394,NA,NA,NA,NA,1.284878,NA,1.622968,1.122948,1187.885986,818.862488,NA,3128.878174,NA,NA,-29.207542,NA,0.14408,NA,0.38361,NA,NA,7.85766,NA,5.411823,NA,2.461168,NA,NA,NA,NA,NA,NA,270.125977,176.114029,NA,NA,0.478842,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.697623,1.700916,NA,NA,NA,0.004817,NA,4.769759,NA,NA,NA,1.746277,NA,NA,NA,9.901249,NA,NA,2213.908447,NA,1.858067,2.025836,0.996683,0.114492,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-18,NA,NA,0.309394,NA,NA,NA,NA,1.295941,NA,1.724403,1.153224,1216.858643,818.862488,NA,3128.878174,NA,NA,-29.66107,NA,0.14408,NA,NA,NA,NA,7.879129,NA,5.560091,NA,2.461168,NA,NA,NA,NA,NA,NA,289.06485,178.411148,NA,NA,0.467047,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.697623,1.708882,NA,NA,NA,0.004817,NA,4.723617,NA,NA,NA,1.716394,NA,NA,NA,10.432293,NA,NA,2183.888916,NA,1.780579,1.965061,0.996683,0.108011,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-19,NA,NA,0.309394,NA,NA,NA,NA,1.255832,NA,1.622968,1.140839,1159.086914,806.452942,NA,3094.776367,NA,NA,-29.026131,NA,0.14408,NA,NA,NA,NA,7.836192,NA,5.374755,NA,2.461168,NA,NA,NA,NA,NA,NA,277.601746,178.028214,NA,NA,0.46233,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.683476,1.696774,NA,NA,NA,0.004817,NA,4.654663,NA,NA,NA,1.667835,NA,NA,NA,9.898106,NA,NA,2157.62207,NA,1.755849,1.956958,0.996683,0.115572,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-20,NA,NA,0.309394,NA,NA,NA,NA,1.21849,NA,1.521532,1.133957,1216.858643,806.452942,NA,3010.374023,NA,NA,-29.588505,NA,0.14408,NA,0.38361,NA,NA,7.85766,NA,5.448889,NA,2.461168,NA,NA,NA,NA,NA,NA,271.621246,178.985413,NA,NA,0.452895,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.626888,1.69295,NA,NA,NA,0.004817,NA,4.700545,NA,NA,NA,1.619275,NA,NA,NA,9.740998,NA,NA,2138.859619,NA,1.863014,1.944803,0.996683,0.116652,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-21,NA,NA,0.309394,NA,NA,NA,NA,1.176997,NA,1.521532,1.143591,1188.002075,806.452942,NA,2941.31665,NA,NA,-29.933186,NA,0.14408,NA,NA,NA,NA,7.299465,NA,5.560091,NA,2.461168,NA,NA,NA,NA,NA,NA,271.621246,179.923401,NA,NA,0.443459,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.579733,1.656943,NA,NA,NA,0.004817,NA,4.723617,NA,NA,NA,1.507214,NA,NA,NA,9.583885,NA,NA,2071.317383,NA,1.846526,1.904286,0.996683,0.113412,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-24,NA,NA,0.309394,NA,NA,NA,NA,1.160399,NA,1.521532,1.116068,1193.680542,806.452942,NA,2920.00293,NA,NA,-29.388962,NA,0.14408,NA,0.439553,NA,NA,7.342405,NA,5.523022,NA,2.461168,NA,NA,NA,NA,NA,NA,266.687134,178.028214,NA,NA,0.434024,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.589164,1.645154,NA,NA,NA,0.004817,NA,4.631591,NA,NA,NA,1.544568,NA,NA,NA,9.590167,NA,NA,2067.565186,NA,1.830039,1.944803,0.996683,0.111251,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-25,NA,NA,0.309394,NA,NA,NA,NA,1.160399,NA,1.521532,NA,1193.680542,806.452942,NA,2920.00293,NA,NA,-29.388962,NA,0.14408,NA,NA,NA,NA,7.342405,NA,5.523022,NA,2.461168,NA,NA,NA,NA,NA,NA,266.687134,178.028214,NA,NA,0.434024,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,NA,1.645154,NA,NA,NA,0.004817,NA,4.631591,NA,NA,NA,NA,NA,NA,NA,9.590167,NA,NA,2067.565186,NA,1.830039,1.944803,0.996683,0.111251,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-26,NA,NA,0.307461,NA,NA,NA,NA,1.1313550000000001,NA,1.420097,1.142214,1158.91333,806.452942,NA,2897.837158,NA,NA,-29.388962,NA,0.14408,NA,NA,NA,NA,7.38534,NA,5.597159,NA,2.461168,NA,NA,NA,NA,NA,NA,259.111603,172.285431,NA,NA,0.431665,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.575016,1.664909,NA,NA,NA,0.004817,NA,4.79257,NA,NA,NA,1.531494,NA,NA,NA,9.803845,NA,NA,2138.859619,NA,1.844877,1.928596,0.996683,0.118812,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-27,NA,NA,0.293927,NA,NA,NA,NA,1.152102,NA,1.521532,1.117443,1170.502319,806.452942,NA,2813.433594,NA,NA,-29.207542,NA,0.14408,NA,NA,NA,NA,7.449748,NA,5.789909,NA,2.461168,NA,NA,NA,NA,NA,NA,261.653473,172.285431,NA,NA,0.426948,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.593927,1.653119,NA,NA,NA,0.004817,NA,4.631591,NA,NA,NA,1.507214,NA,NA,NA,10.055224,NA,NA,2120.098633,NA,1.797066,1.944803,0.996683,0.119893,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-28,NA,NA,0.293927,NA,NA,NA,NA,1.172848,NA,1.521532,1.088544,1158.91333,806.452942,NA,2723.914795,NA,NA,-27.937645,NA,0.14408,NA,NA,NA,NA,7.084775,NA,5.819562,NA,2.461168,NA,NA,NA,NA,NA,NA,260.158234,166.542557,NA,NA,0.415153,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.575016,1.653119,NA,NA,NA,0.004817,NA,4.562377,NA,NA,NA,1.49414,NA,NA,NA,9.747283,NA,NA,1981.259888,NA,1.747605,1.944803,0.996683,0.120973,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
